"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc","c5r2mtsc_std"
"0700002C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,42,37,"MASTER'S DEGREE (MA, MS)","8TH GRADE OR BELOW",0,1,NA,NA,"$30,001 TO $35,000",32500.5,0,0,55.416,0.505434457441729
"0700003C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.628,0.424315099873974
"0700007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,34,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.18,"$30,001 TO $35,000",32500.5,0,0,49.364,-0.117578679614178
"0700010C",0,"ASIAN",0,0,0,1,1,44,47,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,33.42,34.95,"$35,001 TO $40,000",37500.5,0,0,31.123,-1.99536827529111
"0700012C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,NA,52,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,35.92,"$15,001 TO $20,000",17500.5,0,0,48.196,-0.237816509105471
"0700013C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,38,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$10,001 TO $15,000",12500.5,1,1,55.237,0.4870075982988
"0700014C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,31,34,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,39.2,"$25,001 TO $30,000",27500.5,0,0,52.911,0.247561372787888
"0700015C",0,"ASIAN",0,0,0,1,1,44,55,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,33.42,34.95,"$25,001 TO $30,000",27500.5,0,0,65.67,1.56101553929422
"0700016C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.081,-0.764371729865709
"0700017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,38,"SOME COLLEGE","SOME COLLEGE",0,0,35.78,35.78,"$50,001 TO $75,000",62500.5,0,0,52.748,0.230781607199634
"0700018C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.585,-0.0948281998902264
"0700019C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,36,42,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,39.2,"$25,001 TO $30,000",27500.5,0,0,43.654,-0.705385191938902
"0700020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,39,"SOME COLLEGE","8TH GRADE OR BELOW",0,1,38.18,53.5,"$40,001 TO $50,000",45000.5,0,0,50.902,0.0407481883289789
"0700021C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,NA,42,"9TH - 12TH GRADE","NOT APPLICABLE",1,NA,NA,35.92,"$15,001 TO $20,000",17500.5,0,0,48.192,-0.238228282494139
"0700022C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.725,1.46373407622121
"0700023C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,33,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,33.42,NA,"$5,001 TO $10,000",7500.5,1,0,27.9,-2.32715468321101
"0700025C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.21,1.1018882109285
"0704014C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,33,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,37.67,NA,"$20,001 TO $25,000",22500.5,0,0,52.779,0.233972850961818
"0704017C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,35,39,"SOME COLLEGE","MASTER'S DEGREE (MA, MS)",0,0,34.95,35.92,"$20,001 TO $25,000",22500.5,1,0,50.76,0.0261302330312359
"0704021C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.104,-0.144343949877651
"0704022C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,43,41,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,77.5,"$100,001 TO $200,000",150000.5,0,0,70.286,2.03620202981803
"0705001C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.907,0.144206252232017
"0705002C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,33,33,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,34.95,39.2,"$30,001 TO $35,000",32500.5,0,1,52.537,0.209060560947354
"0705004C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.86,1.16880138658718
"0705005C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.281,0.697423799908561
"0705006C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.88,-0.47623330114471
"0705007C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,46,56,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.18,"$5,001 TO $10,000",7500.5,1,0,48.751,-0.180682951427673
"0705009C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,46,50,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,39.18,38.18,"$10,001 TO $15,000",12500.5,1,1,55.865,0.551656020319803
"0705010C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,55,61,"SOME COLLEGE","SOME COLLEGE",0,0,59,59,"$20,001 TO $25,000",22500.5,0,0,48.123,-0.245331373448676
"0705011C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,31,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,63.43,NA,"$30,001 TO $35,000",32500.5,0,0,57.031,0.671687963116761
"0705014C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.476,-1.13548249640347
"0705016C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.261,0.0777048499620046
"0705019C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,38,41,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,33.42,"$30,001 TO $35,000",32500.5,0,0,56.937,0.662011288483044
"0705021C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,33,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$5,001 TO $10,000",7500.5,1,0,29.519,-2.16048940414731
"0705022C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.64,0.219663725705576
"0705024C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.866,-1.09533459100826
"0706002C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,31,33,"SOME COLLEGE","8TH GRADE OR BELOW",0,1,35.78,34.95,"$35,001 TO $40,000",37500.5,0,0,47.245,-0.33571563226148
"0706003C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,41,42,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.18,"$10,001 TO $15,000",12500.5,1,0,45.061,-0.560543902474649
"0706006C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,49,50,"9TH - 12TH GRADE","8TH GRADE OR BELOW",1,1,35.78,39.2,"$20,001 TO $25,000",22500.5,0,1,44.912,-0.575882461202562
"0706007C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,38,60,"8TH GRADE OR BELOW","9TH - 12TH GRADE",1,1,NA,NA,"$10,001 TO $15,000",12500.5,1,0,52.775,0.233561077573148
"0706010C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,38,41,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,33.42,34.95,"$10,001 TO $15,000",12500.5,1,0,39.34,-1.14948279161821
"0706012C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,NA,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,35.92,NA,"$20,001 TO $25,000",22500.5,0,0,60.386,1.01706289286272
"0706013C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,34,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,59,39.2,"$15,001 TO $20,000",17500.5,1,0,57.006,0.669114379437581
"0706014C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,39,NA,"NOT APPLICABLE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",NA,0,57.83,NA,"$10,001 TO $15,000",12500.5,1,0,45.361,-0.529660898324489
"0706016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,29,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,34.95,"$35,001 TO $40,000",37500.5,0,0,65.853,1.57985417182582
"0706018C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,33,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$5,000 TO $5,000",5000,1,1,38.086,-1.27857374896588
"0706019C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,31,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,38.18,29.6,"$20,001 TO $25,000",22500.5,1,0,60.769,1.05649019482776
"0706022C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,32,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$15,001 TO $20,000",17500.5,1,0,50.658,0.0156300116201816
"0706023C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.29,-1.77229004197979
"0706025C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,34,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,59,39.2,"$15,001 TO $20,000",17500.5,1,0,52.099,0.163971374888119
"0707001C",0,"AMERICAN INDIAN OR ALASKA NATIVE",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.361,-0.220830856822882
"0707003C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,42,46,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,38.18,"$25,001 TO $30,000",27500.5,0,0,59.472,0.922972673551901
"0707007C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,32,43,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,35.78,"$50,001 TO $75,000",62500.5,0,0,52.385,0.193413172177939
"0707008C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.914,0.144926855662188
"0707012C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.073,0.573068236530581
"0707013C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,40,37,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,NA,35.92,"$25,001 TO $30,000",27500.5,0,0,68.465,1.84874219462655
"0707014C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,39,46,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,35.78,"$50,001 TO $75,000",62500.5,0,0,51.907,0.144206252232017
"0707015C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,39,38,"DOCTORATE OR PROFESSIONAL DEGREE","VOC/TECH PROGRAM",0,1,53.5,77.5,"$50,001 TO $75,000",62500.5,0,0,64.904,1.48216093536414
"0707017C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,45,48,"SOME COLLEGE","MASTER'S DEGREE (MA, MS)",0,0,63.43,35.78,"$25,001 TO $30,000",27500.5,0,0,52.377,0.192589625400602
"0707018C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,40,37,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,52.54,"$50,001 TO $75,000",62500.5,0,0,38.458,-1.24027882381969
"0707020C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,37,37,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,59,64.89,"$75,001 TO $100,000",87500.5,0,0,40.221,-1.05878970276391
"0707022C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.713,1.66838545038961
"0707023C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.849,0.447065579597925
"0707024C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.399,0.297797726205483
"0708004C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,28,36,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,38.18,39.2,"$20,001 TO $25,000",22500.5,0,1,34.719,-1.62518399887785
"0708018C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,29,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,35.78,NA,"$10,001 TO $15,000",12500.5,1,0,45.774,-0.487145295944434
"0710004C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,27,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,34.95,NA,"$15,001 TO $20,000",17500.5,1,0,42.903,-0.782695645661472
"0710007C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,35,38,"8TH GRADE OR BELOW","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.2,"$15,001 TO $20,000",17500.5,1,1,45.152,-0.551176057882434
"0710008C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,45,42,"8TH GRADE OR BELOW","8TH GRADE OR BELOW",1,1,NA,39.18,"$10,001 TO $15,000",12500.5,1,0,50.666,0.0164535583975187
"0710009C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,42,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.2,"$40,001 TO $50,000",45000.5,0,0,36.958,-1.39469384457049
"0710012C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.326,-1.56269738714736
"0710015C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,40,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","8TH GRADE OR BELOW",1,1,34.95,39.18,"$5,000 TO $5,000",5000,1,0,59.236,0.898678043620441
"0710020C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.465,-0.724841484553503
"0710021C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.35,-1.66317009398255
"0710022C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.537,-0.92331625789187
"0710025C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.806,0.0308656270009271
"0711006C",1,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,34,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,54.984,0.460962931465498
"0711011C",1,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,29,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,59,NA,"$30,001 TO $35,000",32500.5,0,0,50.272,-0.0241061203863587
"0711012C",1,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.76,-1.10624658580799
"0711015C",1,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.418,0.196810302634457
"0712002C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.296,1.83134476895529
"0712003C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.047,-1.28258853950541
"0712007C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,38,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,35.92,"$15,001 TO $20,000",17500.5,1,0,30.666,-2.04241338494652
"0712010C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,2,41,40,"SOME COLLEGE","SOME COLLEGE",0,0,NA,38.18,"$35,001 TO $40,000",37500.5,0,0,46.298,-0.43320298202882
"0712011C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,33,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,38.18,NA,"$35,001 TO $40,000",37500.5,0,0,58.458,0.818588119524358
"0712012C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,37,33,"8TH GRADE OR BELOW","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,35.78,"$15,001 TO $20,000",17500.5,1,0,60.529,1.03178379150763
"0712013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,53,46,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,34.95,"$25,001 TO $30,000",27500.5,0,0,51.01,0.0518660698230364
"0712015C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.439,-0.315744622911042
"0712016C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,2,44,44,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","BACHELOR'S DEGREE",0,0,NA,39.2,"$35,001 TO $40,000",37500.5,0,0,54.169,0.377064103524228
"0712019C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,31,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,53.5,29.6,"$35,001 TO $40,000",37500.5,0,0,53.879,0.347210532845739
"0712021C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,37,35,"MASTER'S DEGREE (MA, MS)","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,53.5,"$35,001 TO $40,000",37500.5,0,0,49.024,-0.152579417651027
"0712022C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.452,-0.417349706565071
"0712023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,35,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,34.95,"$30,001 TO $35,000",32500.5,0,0,44.501,-0.618192176888283
"0712024C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,39,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,35.92,"$25,001 TO $30,000",27500.5,0,0,45.273,-0.538719912875202
"0712025C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,31,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,53.5,29.6,"$35,001 TO $40,000",37500.5,0,0,43.072,-0.765298219990214
"0712041C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,38,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,35.92,"$15,001 TO $20,000",17500.5,1,NA,43.308,-0.741003590058754
"0713002C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,45,51,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,38.18,"$40,001 TO $50,000",45000.5,0,0,49.54,-0.0994606505127507
"0717001C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,50,53,"DOCTORATE OR PROFESSIONAL DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,53.5,77.5,"$100,001 TO $200,000",150000.5,0,0,59.251,0.900222193827949
"0717002C",0,"ASIAN",0,0,0,1,1,39,48,"DOCTORATE OR PROFESSIONAL DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,62.87,77.5,"$100,001 TO $200,000",150000.5,0,0,71.68,2.17970505576911
"0717006C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,2,32,34,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,34.95,34.95,"$50,001 TO $75,000",62500.5,0,0,62.916,1.27750956119575
"0717011C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.718,2.18361690296146
"0717014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,42,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,NA,35.78,"$100,001 TO $200,000",150000.5,0,0,60.968,1.07697592091404
"0717020C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.278,0.800058317034262
"0723001C",1,"ASIAN",0,0,0,1,1,39,44,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,34.95,34.95,"$40,001 TO $50,000",45000.5,0,0,49.062,-0.148667570458673
"0723002C",1,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,36,38,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,35.78,53.5,"$75,001 TO $100,000",87500.5,0,0,51.104,0.0615427444567535
"0723004C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,28,29,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,38.18,"$30,001 TO $35,000",32500.5,0,0,56.549,0.622069269782169
"0723005C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,37,42,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,53.5,"$200,001 TO $200,001",200001,0,0,65.378,1.5309560819214
"0723008C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.889,1.27473009082223
"0723014C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,45,46,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.78,"$50,001 TO $75,000",62500.5,0,0,48.467,-0.209918862023159
"0723016C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,33,36,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,61.56,62.87,"$75,001 TO $100,000",87500.5,0,0,60.29,1.00718033153467
"0723017C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,47,"SOME COLLEGE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,53.5,52.54,"$75,001 TO $100,000",87500.5,0,0,54.882,0.450462710054443
"0723020C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,34,37,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,53.5,"$35,001 TO $40,000",37500.5,0,0,56.858,0.653878764056835
"0728002C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,38,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,NA,"$15,001 TO $20,000",17500.5,1,1,41.435,-0.933816479302924
"0728003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,43,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,53.5,39.18,"$75,001 TO $100,000",87500.5,0,0,40.043,-1.07711361855967
"0728004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,45,"SOME COLLEGE","MASTER'S DEGREE (MA, MS)",0,0,38.18,35.63,"$200,001 TO $200,001",200001,0,0,57.609,0.731189217779404
"0728005C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.868,0.0372481145252941
"0728006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,41,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,61.56,39.18,"$75,001 TO $100,000",87500.5,0,0,44.545,-0.613662669612925
"0728007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,48,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,39.2,"$50,001 TO $75,000",62500.5,0,0,44.654,-0.6024418447717
"0728009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,54,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,35.92,"$35,001 TO $40,000",37500.5,0,0,39.534,-1.12951178226778
"0728010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,59,"SOME COLLEGE","VOC/TECH PROGRAM",0,1,34.95,53.5,"$35,001 TO $40,000",37500.5,0,0,29.496,-2.16285710113215
"0728011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,35.78,35.92,"$40,001 TO $50,000",45000.5,0,0,43.811,-0.689223086433652
"0728013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,38.18,35.63,"$35,001 TO $40,000",37500.5,0,0,54.972,0.459727611299492
